stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
life choices problems mistakes lessons business mind problems talk mine,angriness,10,life choices problems mistakes lessons business mind problems talk mine,life choices problems mistakes lessons business mind problems talk mine,life choice problems mistakes lessons business mind problems talk mine,life choic problem mistak lesson busi mind talk mine,9
dont care anyone doesnt like wasnt put earth entertain everyone,angriness,10,dont care anyone doesnt like wasnt put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyon doe like wa put earth entertain everyon,11
stopped believing,angriness,2,stopped believing,stopped believing,stopped believing,stop believ,2
silence doesnt mean quit simply means dont want argue people dont want understand,angriness,13,silence doesnt mean quit simply means dont want argue people dont want understand,silence does not mean quit simply means do not want argue people do not want understand,silence does not mean quit simply means do not want argue people do not want understand,silenc doe not mean quit simpli mean do want argu peopl understand,12
dont talk need entertainment,angriness,4,dont talk need entertainment,do not talk need entertainment,do not talk need entertainment,do not talk need entertain,5
dont chat youre bored entertainment,angriness,5,dont chat your e bored entertainment,do not chat your e bored entertainment,do not chat your e bored entertainment,do not chat your e bore entertain,7
caution greatest mood today,angriness,4,caution greatest mood today,caution greatest mood today,caution greatest mood today,caution greatest mood today,4
beware bad mood today,angriness,4,beware bad mood today,beware bad mood today,beware bad mood today,bewar bad mood today,4
ever get feeling would like reach choke someone,angriness,8,ever get feeling would like reach choke someone,ever get feeling would like reach choke someone,ever get feeling would like reach choke someone,ever get feel would like reach choke someon,8
mood kill somebody today,angriness,4,mood kill somebody today,mood kill somebody today,mood kill somebody today,mood kill somebodi today,4
gonna come back bird next life people feel deserve little medicine,angriness,11,gonna come back bird next life people feel deserve little medicine,gonna come back bird next life people feel deserve little medicine,gon na come back bird next life people feel deserve little medicine,gon na come back bird next life peopl feel deserv littl medicin,12
woman cries usually thing built anger emotions shes holding long,angriness,10,woman cries usually thing built anger emotions shes holding long,woman cries usually thing built anger emotions shes holding long,woman cries usually thing built anger emotions she holding long,woman cri usual thing built anger emot she hold long,10
dont time fake friends anymore either real gone,angriness,8,dont time fake friends anymore either real gone,do not time fake friends anymore either real gone,do not time fake friends anymore either real gone,do not time fake friend anymor either real gone,9
mistake repeated decision,angriness,3,mistake repeated decision,mistake repeated decision,mistake repeated decision,mistak repeat decis,3
dont allow treat poorly love,angriness,5,dont allow treat poorly love,do not allow treat poorly love,do not allow treat poorly love,do not allow treat poor love,6
silence thats thing deserve,angriness,4,silence thats thing deserve,silence thats thing deserve,silence that thing deserve,silenc that thing deserv,4
careful words said forgiven forgotten,angriness,5,careful words said forgiven forgotten,careful words said forgiven forgotten,careful words said forgiven forgotten,care word said forgiven forgotten,5
